tier,concept,recipient,brand,score_pct,longest_creative_days,active_creatives_US,target_countries,product_link,eu_reach_PROXY,eu_spend_PROXY_usd,top_ad_started,brand_ad_library_US,per_product_ad_library_US,price,note
1,Custom pet-portrait phone case,Pets,Macorner,91,126,9,US+CA/AU/NZ+EU,https://macorner.co/products/custom-pet-portrait-personalized-leather-phone-case-ma4ddrzzh,1123460,12358,2026-03-25,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=102971998671051,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=pet%20portrait%20phone%20case&search_type=keyword_unordered&media_type=all,$27-30,Photo->art; year-round; lead ~5 US creatives; copycat cigreds.com
1,"""Legend: Husband-Dad-Grandpa"" family-name shirt",Parents/Grandparents,Macorner,91,309,11,US+CA/AU/NZ,https://macorner.co/products/legend-husband-dad-and-grandpa-custom-family-name-personalized-shirt-grd200504dohn,,,2025-09-23,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=102971998671051,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=legend%20husband%20dad%20grandpa&search_type=keyword_unordered&media_type=all,$30-33,+hawaiian/hoodie variants
1,"Pet memorial suncatcher / ""always with you""",Pets,Macorner,91,314,2,US,https://macorner.co/products/loss-of-dog-in-loving-memory-personalized-window-hanging-suncatcher-ornament-dog280502hutl,,,2025-09-18,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=102971998671051,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=loss%20of%20dog%20in%20loving%20memory%20suncatcher&search_type=keyword_unordered&media_type=all,$27,live US ad (found)
1,"""Once a brother"" distance tumbler",Siblings,Macorner,91,228,6,US+EU broad,https://macorner.co/products/once-a-brother-always-a-brother-no-matter-the-distance-personalized-tumbler-cup-sib081202dghn,67148,738,2025-12-24,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=102971998671051,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=once%20a%20brother%20always%20a%20brother%20tumbler&search_type=keyword_unordered&media_type=all,$30,+pockethug/coin variants
1,Custom bestie-photo trinket / jewelry dish,Friends,Macorner,91,224,10,US+EU broad,https://macorner.co/products/custom-bestie-photo-trinket-tray-for-best-friend-friendship-thank-you-gifts-personalized-jewelry-dish-fri021205huhn,,2826,2025-12-17,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=102971998671051,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=bestie%20photo%20trinket%20dish&search_type=keyword_unordered&media_type=all,$30,also geckocustom+nanyshop
1,"Family-camping ""making memories"" doormat",Family,Macorner,91,107,1,US+CA+GB+NZ,https://macorner.co/products/making-memories-one-campsite-at-a-time-family-camping-personalized-doormat-cam150401vuhn,72948,802,2026-04-13,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=102971998671051,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=making%20memories%20one%20campsite%20doormat&search_type=keyword_unordered&media_type=all,$30,also cigreds seller
1,Y2K couple heart LED light box,Couples,PFG,87,410,3,US+EU broad,https://trendingcustom.com/products/y2k-couple-heart-shape-with-names-psnl-light-box-anniversary-gift-valentines-day-gift-for-him-for-her-12203492,18935,208,2025-06-14,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=1562252470694113,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=y2k%20couple%20heart%20light%20box&search_type=keyword_unordered&media_type=all,~$24,Most-proven in set
1,"""Always with you sky"" family memorial",Family,PFG,87,286,18,US+EU(33),https://trendingcustom.com/products/always-with-you-sky-family-members-grandma-grandpa-dad-mom-kids-dogs-cats-memorial-personalized-acrylic-keychain-1311141,99671,1096,2025-10-16,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=1562252470694113,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=always%20with%20you%20sky%20family%20memorial&search_type=keyword_unordered&media_type=all,~$24,Our Teeinblue strength
1,Daddy's-team baseball family poster,Family,PFG,87,236,14,US+CA+EU,https://trendingcustom.com/products/daddys-team-baseball-family-sitting-psnl-poster-2201056,214748,2362,2024-05-30,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=1562252470694113,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=daddys%20team%20baseball%20family%20poster&search_type=keyword_unordered&media_type=all,~$24,Add each kid
1,Dog/cat memorial wooden car-visor clip,Pets,Macorner,87,329,2,US+CA/AU/NO/BR/NZ,https://macorner.co/products/dog-memorial-cat-memorial-personalized-wooden-car-visor-clip-pet180702laht,1119,12,2025-09-03,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=102971998671051,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=dog%20memorial%20car%20visor%20clip&search_type=keyword_unordered&media_type=all,$25,"Memorial, cheap build"
1,"""Proud hero"" couple nation-flag wood plaque",Couples,PFG,87,118,1,US+EU(33),https://trendingcustom.com/products/proud-hero-couple-nation-flag-psnl-2layered-wooden-plaque-valentines-day-gift-for-couple-for-him-for-her-nurse-police-firefighter-army-01155141,12420,137,2026-04-02,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=1562252470694113,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=proud%20hero%20couple%20nation%20flag%20plaque&search_type=keyword_unordered&media_type=all,~$24,Occupation+couple
1,Sibling/sisters-forever acrylic ornament,Siblings,Macorner,87,300,14,US+NO+EU,https://macorner.co/products/sisters-siblings-forever-personalized-acrylic-ornament-xma021001vupg,35286,388,2025-10-02,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=102971998671051,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=sisters%20siblings%20forever%20acrylic%20ornament&search_type=keyword_unordered&media_type=all,$17,"Low AOV, proven"
2,Day-of-the-Dead pet (cardigan/tumbler),Pets,Macorner,89,299,6,US,https://macorner.co/products/day-of-the-dead-dog-cat-hispanic-mexican-flowers-personalized-wine-tumbler-pet171001tvec,,,2025-10-18,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=102971998671051,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=day%20of%20the%20dead%20dog%20cat%20flowers&search_type=keyword_unordered&media_type=all,$37,"Seasonal Oct, premium; +cardigan/sweater/dish variants"
2,"""Adventure partners"" couple solar mason-jar light",Couples,Macorner,89,180,1,US+CA+EU,https://macorner.co/products/adventure-partners-for-life-couple-gift-personalized-solar-mason-jar-light-cam291203ttnh,184359,2028,2026-01-30,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=102971998671051,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=adventure%20partners%20for%20life%20solar&search_type=keyword_unordered&media_type=all,$37,verified
2,Birth-flower book-lover wearable blanket hoodie,Self/Hobby,Macorner,89,298,2,US+EU,https://macorner.co/products/birth-flower-book-lovers-books-quotes-personalized-wearable-blanket-hoodie-boo280801paht,1114206,12256,2025-10-04,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=102971998671051,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=birth%20flower%20book%20lovers%20wearable%20blanket&search_type=keyword_unordered&media_type=all,$50,verified
2,"""Gaming do-not-disturb"" wearable blanket hoodie",Self/Hobby,Macorner,89,294,1,US,https://macorner.co/products/im-gaming-do-not-disturb-personalized-wearable-blanket-hoodie-gam181101docy,,,2025-10-08,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=102971998671051,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=gaming%20do%20not%20disturb%20wearable%20blanket&search_type=keyword_unordered&media_type=all,$60,verified
2,"""F*ck Valentine's, love you everyday"" bottle lamp",Couples,Macorner,89,202,8,US+EU broad,https://macorner.co/products/fuck-valentines-day-i-love-you-everyday-personalized-bottle-lamp-cou110102vupg,851289,9364,2026-01-08,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=102971998671051,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=love%20you%20everyday%20personalized%20bottle%20lamp&search_type=keyword_unordered&media_type=all,$40,verified
2,Buffalo-plaid family runner rug,Family,Macorner,87,280,6,US+EU broad,https://macorner.co/products/family-sitting-festive-plant-buffalo-plaid-personalized-runner-rug-xma200901tvec,,,2025-10-16,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=102971998671051,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=buffalo%20plaid%20family%20runner%20rug&search_type=keyword_unordered&media_type=all,$50,from links.md
2,"Custom moon-phase crystal-ball night light (""our moon"")",Couples,PFG,82,189,25,US+EU,https://trendingcustom.com/products/our-moon-the-night-we-got-married-psnl-crystal-ball-night-light-heartfelt-anniversary-gift-for-her-for-him-23106957,65221,717,2026-02-13,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=1562252470694113,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=our%20moon%20the%20night%20we%20got%20married%20crystal%20ball&search_type=keyword_unordered&media_type=all,~$24,verified
2,"""Professional grandma of grandkids"" shirt",Grandparents,PFG,82,189,2,US+EU,https://trendingcustom.com/products/im-not-retired-im-a-professional-grandma-of-cute-grandkids-psnl-shirt-400520,20345,224,2026-01-21,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=1562252470694113,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=professional%20grandma%20of%20cute%20grandkids&search_type=keyword_unordered&media_type=all,~$24,verified
2,Snowman family/grandkids LED light box,Grandparents,PFG,82,295,7,US+EU broad,https://trendingcustom.com/products/snowman-grandma-and-grandkids-psnl-light-box-christmas-gift-for-grandma-91505378,,,2025-12-02,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=1562252470694113,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=snowman%20grandma%20and%20grandkids%20light%20box&search_type=keyword_unordered&media_type=all,$28,from links.md
2,Custom gingerbread-letter family-name,Family,Macorner,82,284,14,US+NO,https://macorner.co/products/custom-gingerbread-letter-with-name-for-family-kids-personalized-family-wood-ornament-xma101001dghn,87,1,2025-10-18,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=102971998671051,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=custom%20gingerbread%20letter%20with%20name%20family&search_type=keyword_unordered&media_type=all,$27,verified
